index,name,type1,type2,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,Smogon_VGC_Usage_2022,Smogon_VGC_Usage_2023,Smogon_VGC_Usage_2024,Worlds_VGC_Usage_2022,Worlds_VGC_Usage_2023,Worlds_VGC_Usage_2024
1,bulbasaur,  GRASS ,poison,overgrow,none,chlorophyll,45,49,49,65,65,45,318,False,False,generation-i,0.0,NoUsage,0.0,NoUsage,NoUsage,NULL
2,ivysaur,grass   ,poison,overgrow,No_ability,chlorophyll   ,60,62,63,80,80,60,405,False,False,generation-i,0.0,NoUsage,0.0,NoUsage,NoUsage,   
3,venusaur   ,  GRASS ,poison,overgrow,sem_habilidade,chlorophyll,80,82,83,100,100,80,525,False,False,GERAÇAO-I,20.83915,NoUsage,0.4441,19.62,-,0.09
3,  VENUSAUR-MEGA ,grass,poison,thick-fat,  NULL ,None ,80,100,123,122,120,80,625,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
3,  VENUSAUR-GMAX ,grass,poison,overgrow,NULL,chlorophyll,80,82,83,100,100,80,525,False,False,generation-i,NoUsage,   ,NoUsage,NoUsage,NoUsage,NoUsage
4,charmander,fire,No_type,blaze,NULL,  SOLAR-POWER ,39,52,43,60,50,65,309,False,False,generation-i,0.0,-,   ,NoUsage,NoUsage,NULL
5,charmeleon,fire,No_type,blaze,none,solar-power,58,64,58,80,65,80,405,False,False,generation-i,0.0,0.0,0.0,NoUsage,NoUsage,N/A
6,charizard,  FIRE ,flying,blaze,None,solar-power,78,84,78,109,85,100,534,False,False,generation-i,7.17374,0.44681,0.04722,20.53,NoUsage,3.19
6,charizard-mega-x,fire   ,  DRAGON ,  TOUGH-CLAWS ,  NULL ,None ,78,130,111,130,85,100,634,False,False,generation-i,NoUsage,   ,NoUsage,NoUsage,NoUsage,NoUsage
6,charizard-mega-y,fire,flying,drought   ,none,None ,78,104,78,159,115,100,634,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
6,charizard-gmax,fire   ,flying,blaze,N/A,solar-power,78,84,78,109,85,100,534,False,False,GEN_i,NoUsage,NoUsage,no usage,NULL,NoUsage,NoUsage
7,squirtle,  WATER ,  NO_TYPE ,torrent,null   ,rain-dish,44,48,65,50,64,43,314,False,False,generation-i,0.0,NO,0.0,NoUsage,no usage,NoUsage
8,wartortle,water   ,  NO_TYPE ,torrent,sem_habilidade   ,  RAIN-DISH ,59,63,80,65,80,58,405,False,False,generation-i,0.0,NoUsage,0.00017,NoUsage,NoUsage,NoUsage
9,blastoise,water,No_type,torrent   ,sem_habilidade,  RAIN-DISH ,79,83,100,85,105,78,530,False,False,generation-i,3.58274,NoUsage,0.14874,4.98,none,0.18
9,blastoise-mega,water,No_type,mega-launcher,   ,None ,79,103,120,135,115,78,630,False,False,generation-i,none,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
9,blastoise-gmax,  WATER ,No_type,torrent   ,NULL,rain-dish,79,83,100,85,105,78,530,False,False,generation-i,NoUsage,N/A,NoUsage,NoUsage,none,NoUsage
10,caterpie,bug,No_type,shield-dust,  NO-ABILITY ,  RUN-AWAY ,45,30,35,20,20,45,195,False,False,generation-i,NULL,none,NULL,NoUsage,NoUsage,N/A
11,metapod,bug,no_type   ,  SHED-SKIN ,sem_habilidade,None ,50,20,55,25,25,30,205,False,False,generation-i,none,NoUsage,NoUsage,NO,NoUsage,NoUsage
12,butterfree,bug,flying,compound-eyes,n/a   ,tinted-lens,60,45,50,90,80,70,395,False,False,generation-i,0.04471,NoUsage,NoUsage,0.04,no usage,-
12,butterfree-gmax,bug,flying,compound-eyes   ,none,tinted-lens,60,45,50,90,80,70,395,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
13,weedle   ,bug,poison,shield-dust   ,no-ability,run-away,40,35,30,20,20,50,195,False,False,GEN_i,NoUsage,-,NoUsage,NoUsage,NO,NoUsage
14,kakuna   ,  BUG ,  POISON ,shed-skin,no-ability,None ,45,25,50,25,25,35,205,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,N/A,NoUsage
15,beedrill   ,bug,poison,swarm,  NO-ABILITY ,sniper,65,90,40,45,80,75,395,False,False,generation-i,NoUsage,zero,-,NoUsage,NoUsage,NoUsage
15,beedrill-mega,  BUG ,  POISON ,adaptability   ,   ,  NONE  ,65,150,40,15,80,145,495,False,False,generation-i,NoUsage,NoUsage,NoUsage,no usage,NoUsage,NoUsage
16,  PIDGEY ,normal,flying,keen-eye,tangled-feet,big-pecks,40,45,40,35,35,56,251,False,False,generation-i,NoUsage,NoUsage,NoUsage,NoUsage,NULL,NoUsage
17,  PIDGEOTTO ,normal,flying,keen-eye,tangled-feet,  BIG-PECKS ,63,60,55,50,50,71,349,False,False,generation-i,NO,NoUsage,NoUsage,NoUsage,NoUsage,NoUsage
18,pidgeot,  NORMAL ,flying,keen-eye,tangled-feet,big-pecks,83,80,75,70,70,101,479,False,False,generation-i,NO,NoUsage,N/A,NoUsage,NoUsage,NO
18,pidgeot-mega,  NORMAL ,flying,  NO-GUARD ,  NO-ABILITY ,None ,83,80,80,135,80,121,579,False,False,GEN_i,NoUsage,NoUsage,NoUsage,NoUsage,none,NoUsage
19,rattata,normal,No_type,run-away,guts,hustle,30,56,35,25,35,72,253,False,False,GERAÇAO-I,NoUsage,NoUsage,NoUsage,-,no usage,NoUsage
19,rattata-alola,dark,  NORMAL ,gluttony,hustle,  THICK-FAT ,30,56,35,25,35,72,253,False,False,generation-i,none,NoUsage,no usage,NoUsage,NoUsage,NoUsage
20,raticate,normal,  NO_TYPE ,run-away,  GUTS ,hustle,55,81,60,50,70,97,413,False,False,generation-i,NULL,no usage,NoUsage,zero,NoUsage,NoUsage
20,raticate-alola,dark,  NORMAL ,gluttony,  HUSTLE ,thick-fat,75,71,70,40,80,77,413,False,False,generation-i,NoUsage,no usage,-,NoUsage,NoUsage,NoUsage
20,raticate-totem-alola,dark,normal,  GLUTTONY ,  HUSTLE ,thick-fat,75,71,70,40,80,77,413,False,False,generation -   i,NoUsage,   ,NoUsage,NoUsage,NoUsage,NULL
21,  SPEAROW ,normal,  FLYING ,keen-eye,NULL,sniper,40,60,30,31,31,70,262,False,False,generation-i,NoUsage,NoUsage,NULL,NoUsage,NoUsage,N/A
22,fearow   ,normal,  FLYING ,keen-eye,None,sniper   ,65,90,65,61,61,100,442,False,False,generation-i,NoUsage,-,NoUsage,NoUsage,NoUsage,zero
23,ekans,poison,No_type,intimidate   ,shed-skin,unnerve,35,60,44,40,54,55,288,False,False,generation -   i,NoUsage,5e-05,0.0,NoUsage,NoUsage,-
